0.34,0.033085,1.8645e-28,0.2683,-2.956e-28,0.12073,-3.2188e-29,0.27038,1.2822e-27,0.73573,2.2608e-27,-0.067113,6.3789e-29
0.35,0.035788,1.9927e-28,0.27566,-2.7299e-28,0.12006,-3.155e-29,0.28164,1.3095e-27,0.7305,2.2699e-27,-0.081666,6.4126e-29
0.36,0.038605,2.1237e-28,0.28297,-2.5029e-28,0.11924,-3.0909e-29,0.29284,1.3347e-27,0.72519,2.2716e-27,-0.095476,6.3557e-29
0.37,0.041533,2.2571e-28,0.29022,-2.2757e-28,0.11829,-3.0274e-29,0.30395,1.3577e-27,0.7198,2.2665e-27,-0.10856,6.2171e-29
0.38,0.044573,2.3929e-28,0.29742,-2.0491e-28,0.1172,-2.9652e-29,0.31496,1.3786e-27,0.71434,2.2551e-27,-0.12094,6.0053e-29
0.39,0.047722,2.5308e-28,0.30456,-1.8236e-28,0.11599,-2.9051e-29,0.32585,1.3974e-27,0.7088,2.238e-27,-0.13264,5.729e-29
0.4,0.050981,2.6705e-28,0.31165,-1.5998e-28,0.11467,-2.8478e-29,0.33663,1.414e-27,0.7032,2.2156e-27,-0.14366,5.3964e-29
0.41,0.054347,2.8119e-28,0.31868,-1.3782e-28,0.11323,-2.7939e-29,0.34728,1.4286e-27,0.69753,2.1884e-27,-0.15404,5.0155e-29
0.42,0.05782,2.9548e-28,0.32565,-1.1594e-28,0.11169,-2.7437e-29,0.35778,1.4411e-27,0.69181,2.157e-27,-0.16379,4.5938e-29
0.43,0.061398,3.0989e-28,0.33257,-9.4367e-29,0.11005,-2.6978e-29,0.36814,1.4516e-27,0.68603,2.1215e-27,-0.17292,4.1387e-29
0.44,0.065079,3.244e-28,0.33943,-7.3152e-29,0.10832,-2.6564e-29,0.37833,1.4601e-27,0.68021,2.0826e-27,-0.18146,3.657e-29
0.45,0.068862,3.39e-28,0.34624,-5.2326e-29,0.10651,-2.6198e-29,0.38836,1.4666e-27,0.67434,2.0405e-27,-0.18941,3.155e-29
0.46,0.072746,3.5367e-28,0.35298,-3.1921e-29,0.10462,-2.5883e-29,0.39822,1.4712e-27,0.66844,1.9955e-27,-0.19681,2.6388e-29
0.47,0.076728,3.6838e-28,0.35966,-1.1966e-29,0.10265,-2.5619e-29,0.4079,1.4739e-27,0.66251,1.948e-27,-0.20367,2.1139e-29
0.48,0.080807,3.8312e-28,0.36629,7.5142e-30,0.10061,-2.5407e-29,0.41739,1.4748e-27,0.65655,1.8983e-27,-0.20999,1.5854e-29
0.49,0.084981,3.9787e-28,0.37285,2.6498e-29,0.098511,-2.5249e-29,0.42669,1.4739e-27,0.65056,1.8467e-27,-0.21581,1.0578e-29
0.5,0.089248,4.1261e-28,0.37936,4.4965e-29,0.096353,-2.5143e-29,0.43579,1.4712e-27,0.64456,1.7934e-27,-0.22113,5.3554e-30
0.51,0.093606,4.2732e-28,0.3858,6.2899e-29,0.094141,-2.509e-29,0.44469,1.4668e-27,0.63855,1.7387e-27,-0.22598,2.2288e-31
0.52,0.098053,4.4199e-28,0.39219,8.0287e-29,0.091882,-2.5087e-29,0.45338,1.4608e-27,0.63253,1.6828e-27,-0.23036,-4.7853e-30
0.53,0.10259,4.566e-28,0.39852,9.7115e-29,0.089578,-2.5135e-29,0.46187,1.4531e-27,0.62651,1.6259e-27,-0.2343,-9.6392e-30
0.54,0.10721,4.7113e-28,0.40478,1.1337e-28,0.087235,-2.5232e-29,0.47014,1.4439e-27,0.62049,1.5683e-27,-0.2378,-1.4313e-29
0.55,0.11191,4.8557e-28,0.41099,1.2906e-28,0.084857,-2.5375e-29,0.47819,1.4333e-27,0.61447,1.51e-27,-0.24089,-1.8783e-29
0.56,0.11669,4.999e-28,0.41713,1.4416e-28,0.082448,-2.5563e-29,0.48603,1.4211e-27,0.60847,1.4513e-27,-0.24357,-2.303e-29
0.57,0.12155,5.1411e-28,0.42321,1.5867e-28,0.080012,-2.5793e-29,0.49364,1.4076e-27,0.60248,1.3923e-27,-0.24587,-2.7039e-29
0.58,0.12649,5.2819e-28,0.42924,1.7259e-28,0.077554,-2.6063e-29,0.50103,1.3927e-27,0.59651,1.3332e-27,-0.2478,-3.0797e-29
0.59,0.1315,5.4211e-28,0.4352,1.8593e-28,0.075076,-2.6371e-29,0.50819,1.3766e-27,0.59056,1.2741e-27,-0.24936,-3.4292e-29
0.6,0.13658,5.5588e-28,0.44111,1.9867e-28,0.072582,-2.6714e-29,0.51512,1.3592e-27,0.58464,1.2152e-27,-0.25058,-3.7518e-29
