%time,field.x,field.y,field.z
1544489603852129936,-1.21615993977,0.931976982818,0.391734951153
1544489603852390050,-1.21615993977,0.931976982818,0.391734951153
1544489603859955072,-1.21719956398,0.931581267155,0.390429669166
1544489603860029935,-1.21719956398,0.931581267155,0.390429669166
1544489603867679119,-1.21793782711,0.931756623798,0.389749192682
1544489603867763042,-1.21793782711,0.931756623798,0.389749192682
1544489603877743959,-1.22001993656,0.93149829705,0.38908373671
1544489603877824068,-1.22001993656,0.93149829705,0.38908373671
1544489603884846925,-1.21889030933,0.931275613951,0.388636761551
1544489603884919881,-1.21889030933,0.931275613951,0.388636761551
1544489603892322063,-1.21889030933,0.931275613951,0.388636731749
1544489603892389059,-1.21889030933,0.931275613951,0.388636731749
1544489603901941061,-1.21889030933,0.931275613951,0.388636731749
1544489603902272939,-1.21889030933,0.931275613951,0.388636731749
1544489603910022974,-1.21927690506,0.930905826916,0.389192217357
1544489603910101890,-1.21927690506,0.930905826916,0.389192217357
1544489603917804956,-1.21899712086,0.930967637132,0.38980334376
1544489603918016910,-1.21899712086,0.930967637132,0.38980334376
1544489603926882982,-1.21824347973,0.930542298363,0.389728629476
1544489603927124023,-1.21824347973,0.930542298363,0.389728629476
1544489603934659004,-1.2176271677,0.931195982908,0.390969359548
1544489603934890031,-1.2176271677,0.931195982908,0.390969359548
1544489603942147970,-1.21678769588,0.930895933319,0.391561203967
1544489603942364931,-1.21678769588,0.930895933319,0.391561203967
1544489603952120065,-1.21642374992,0.93239469185,0.390760534284
1544489603952322959,-1.21642374992,0.93239469185,0.390760534284
1544489603959808111,-1.21441304684,0.931591401247,0.394413971445
1544489603960032939,-1.21441304684,0.931591401247,0.394413971445
1544489603967451095,-1.21468985081,0.931471357378,0.394063794197
1544489603967668056,-1.21468985081,0.931471357378,0.394063794197
1544489603977375984,-1.21384179592,0.931887934505,0.394874655648
1544489603977636098,-1.21384179592,0.931887934505,0.394874655648
1544489603984309911,-1.21339845657,0.932285080502,0.395637624774
1544489603984529018,-1.21339845657,0.932285080502,0.395637624774
1544489603992321014,-1.21325802803,0.932441066016,0.39612086938
1544489603992602109,-1.21325802803,0.932441066016,0.39612086938
1544489604002093076,-1.21295797825,0.93280000539,0.396744184836
1544489604002351045,-1.21295797825,0.93280000539,0.396744184836
1544489604009901046,-1.21289670467,0.933100949327,0.39700382257
1544489604010124921,-1.21289670467,0.933100949327,0.39700382257
1544489604017486095,-1.21300458908,0.933142910952,0.396866940489
1544489604017774105,-1.21300458908,0.933142910952,0.396866940489
1544489604026608943,-1.21331441402,0.933362494454,0.396839283862
1544489604026891946,-1.21331441402,0.933362494454,0.396839283862
1544489604034276008,-1.21368849277,0.933505664691,0.39647116553
1544489604034533977,-1.21368849277,0.933505664691,0.39647116553
1544489604042196035,-1.21368861198,0.933505664691,0.396471225134
1544489604042406082,-1.21368861198,0.933505664691,0.396471225134
1544489604052258968,-1.214812994,0.933840701958,0.395122640134
1544489604052498102,-1.214812994,0.933840701958,0.395122640134
1544489604059715986,-1.2159113884,0.933417151125,0.394426040789
1544489604059983015,-1.2159113884,0.933417151125,0.394426040789
1544489604066880941,-1.21686923504,0.935885498766,0.394707195092
1544489604067102909,-1.21686923504,0.935885498766,0.394707195092
1544489604076692104,-1.21683716774,0.935144612774,0.393919341139
1544489604076908111,-1.21683716774,0.935144612774,0.393919341139
1544489604084424972,-1.21835148335,0.934281060152,0.392303280688
1544489604084666013,-1.21835148335,0.934281060152,0.392303280688
1544489604091934919,-1.21934723854,0.933893868156,0.391618661865
1544489604092232942,-1.21934723854,0.933893868156,0.391618661865
1544489604101632118,-1.21998786926,0.933229395115,0.390207849942
1544489604101900100,-1.21998786926,0.933229395115,0.390207849942
1544489604109945058,-1.22050726414,0.932526715793,0.389702402784
1544489604110287904,-1.22050726414,0.932526715793,0.389702402784
1544489604117186069,-1.22079896927,0.933025904612,0.389456235438
1544489604117432117,-1.22079896927,0.933025904612,0.389456235438
1544489604126616001,-1.2208006382,0.932205148525,0.389063053667
1544489604126877069,-1.2208006382,0.932205148525,0.389063053667
1544489604134316921,-1.22086250782,0.931795545653,0.389816873743
1544489604134543895,-1.22086250782,0.931795545653,0.389816873743
1544489604142440080,-1.22050321102,0.931734391354,0.390019916986
1544489604142683982,-1.22050321102,0.931734391354,0.390019916986
1544489604151410102,-1.22156906128,0.932397195265,0.390821182009
1544489604151629924,-1.22156906128,0.932397195265,0.390821182009
1544489604159614086,-1.21943104267,0.932341763336,0.392016284957
1544489604159871101,-1.21943104267,0.932341763336,0.392016284957
1544489604166989088,-1.21851801872,0.93291593526,0.393182628458
1544489604167208909,-1.21851801872,0.93291593526,0.393182628458
1544489604176371097,-1.218277812,0.932401845214,0.393227183098
1544489604176611900,-1.218277812,0.932401845214,0.393227183098
1544489604185530900,-1.21822166443,0.931659589121,0.394905232905
1544489604185801029,-1.21822166443,0.931659589121,0.394905232905
1544489604192152976,-1.21691441536,0.933040450034,0.395233296419
1544489604192409038,-1.21691441536,0.933040450034,0.395233296419
1544489604201464891,-1.21643650532,0.933317433116,0.396147273951
1544489604201761960,-1.21643650532,0.933317433116,0.396147273951
1544489604209747076,-1.21634745598,0.933511208116,0.397062413802
1544489604210026979,-1.21634745598,0.933511208116,0.397062413802
1544489604217538118,-1.21597456932,0.93372655997,0.397896312514
1544489604217792034,-1.21597456932,0.93372655997,0.397896312514
1544489604226486921,-1.21592998505,0.934389840712,0.398675911249
1544489604226742982,-1.21592998505,0.934389840712,0.398675911249
